Channel      Energy
465          344.2760+/-0.0040
330          244.6920+/-0.0020
50           39.9100+/-0.0500
160          121.7830+/-0.0020
550          411.1150+/-0.0050
600          443.9760+/-0.0050
1040         778.9030+/-0.0060
1170         867.3880+/-0.0080
1300         1112.1160+/-0.0170
1880         1408.0110+/-0.0140
[(39.9100, 28553.0),(45.7100, 6899.0),(121.7830, 13620.0),(244.6920, 3590.0),(295.9390, 211.0),(344.2760, 12750.0),(367.7890, 405.0),(411.1150, 1070.0),(443.9760, 1480.0),(488.6610, 195.0),(564.0210, 236.0),(566.4210, 62.0),(586.2940, 220.0),(656.4840, 69.0),(674.6780, 80.0),(678.5780, 221.0),(688.6780, 400.0),(719.3530, 128.0),(778.9030, 6190.0),(810.4590, 152.0),(867.3880, 1990.0),(919.4010, 209.0),(926.3240, 127.0),(964.1310, 6920.0),(1005.2790, 310.0),(1085.9140, 4867.0),(1089.7000, 820.0),(1109.1800, 88.0),(1112.1160, 6490.0),(1212.9500, 670.0),(1249.9460, 89.0),(1299.1240, 780.0),(1408.0110, 10000.0),(1457.6280, 237.0),(1528.1150, 127.0),(1769.0740, 4.0)]
